spectrum_type,replicate,pr,pr_fraction,mk_tau,loglinear_r2,loglinear_slope,passes_c1,passes_c2,passes_c3,is_hyperribbon
random,0,9.97433528620141,0.9974335286201409,-1.0,0.9569342034417829,-0.017082685616120703,True,True,False,False
random,1,9.978020285554795,0.9978020285554795,-1.0,0.9857966785310804,-0.016225572517618754,True,True,False,False
random,2,9.978171435603088,0.9978171435603087,-1.0,0.9881585659394497,-0.016261547297705965,True,True,False,False
random,3,9.97574184356995,0.997574184356995,-1.0,0.9614405227404583,-0.01666078749853323,True,True,False,False
random,4,9.978714310760843,0.9978714310760843,-1.0,0.9879861468789533,-0.016022625861314765,True,True,False,False
random,5,9.973353820026748,0.9973353820026748,-1.0,0.9914264455263475,-0.017865035228221266,True,True,False,False
random,6,9.977840010450569,0.9977840010450569,-1.0,0.9773704186406648,-0.016354680240990373,True,True,False,False
random,7,9.97637572204437,0.997637572204437,-1.0,0.9908488994757176,-0.016912679773062052,True,True,False,False
random,8,9.981916596781943,0.9981916596781943,-1.0,0.980936707493932,-0.01470892464773485,True,True,False,False
random,9,9.978127752710199,0.9978127752710199,-1.0,0.9869869109165342,-0.016210948764294415,True,True,False,False
random,10,9.979677927653222,0.9979677927653222,-1.0,0.9870630196427163,-0.015613264757022927,True,True,False,False
random,11,9.972181952775195,0.9972181952775194,-1.0,0.9665254997027923,-0.018026794159808728,True,True,False,False
random,12,9.985860158875827,0.9985860158875827,-1.0,0.9834207957209827,-0.013054952282572597,True,True,False,False
random,13,9.979807275484173,0.9979807275484174,-1.0,0.978669643540065,-0.015480596105950125,True,True,False,False
random,14,9.979686507573366,0.9979686507573365,-1.0,0.9853315527791412,-0.015654891839684992,True,True,False,False
random,15,9.974575057009014,0.9974575057009014,-1.0,0.9774685661942036,-0.017329126076290377,True,True,False,False
random,16,9.968591121542742,0.9968591121542743,-1.0,0.9629560732357749,-0.01916768955031127,True,True,False,False
random,17,9.986434234336325,0.9986434234336325,-1.0,0.9644559735637698,-0.012637475931805048,True,True,False,False
random,18,9.976427631963594,0.9976427631963594,-1.0,0.9752840250400571,-0.0167060988819009,True,True,False,False
random,19,9.980123168759741,0.9980123168759741,-1.0,0.9855702331695348,-0.015407940300287646,True,True,False,False
bimodal,0,4.993068372439128,0.4993068372439128,-1.0,0.7646014129622128,-1.4048983077923454,True,False,True,False
bimodal,1,4.993387790796427,0.4993387790796427,-1.0,0.7631499565250472,-1.3989699929421904,True,False,True,False
bimodal,2,4.996432269638965,0.4996432269638965,-1.0,0.7634605314663917,-1.3975192170092965,True,False,True,False
bimodal,3,4.9961198387895935,0.49961198387895933,-1.0,0.7637601775149074,-1.4030187361474737,True,False,True,False
bimodal,4,4.99454630642405,0.49945463064240503,-1.0,0.7636100996956999,-1.404019667564464,True,False,True,False
bimodal,5,4.993963937680095,0.49939639376800954,-1.0,0.765217224768709,-1.403182916761635,True,False,True,False
bimodal,6,4.997479316249787,0.49974793162497866,-1.0,0.7632813519030367,-1.4046884326503135,True,False,True,False
bimodal,7,4.994521082772944,0.49945210827729436,-1.0,0.7628113880434895,-1.4026183296411034,True,False,True,False
bimodal,8,4.994699678615354,0.4994699678615354,-1.0,0.7632344949515815,-1.4016380075224002,True,False,True,False
bimodal,9,4.994149689858272,0.4994149689858272,-1.0,0.7635768090532286,-1.4009722177452248,True,False,True,False
bimodal,10,4.993010511018276,0.49930105110182754,-1.0,0.7637775537340415,-1.4029280037628782,True,False,True,False
bimodal,11,4.994646558928703,0.49946465589287026,-1.0,0.7634163629269698,-1.4045547298296421,True,False,True,False
bimodal,12,4.996897414939491,0.4996897414939491,-1.0,0.7628385591650135,-1.400241214084705,True,False,True,False
bimodal,13,4.997396902681161,0.4997396902681161,-1.0,0.7631164169709665,-1.4001441374305132,True,False,True,False
bimodal,14,4.992250056775346,0.4992250056775346,-1.0,0.7633160831914005,-1.3997589348516928,True,False,True,False
bimodal,15,4.996725462228804,0.49967254622288043,-1.0,0.7643689843828245,-1.4035054954815571,True,False,True,False
bimodal,16,4.995716917416129,0.49957169174161287,-1.0,0.7646943866964111,-1.3999494629925098,True,False,True,False
bimodal,17,4.999207440426334,0.49992074404263337,-1.0,0.7614781880698213,-1.3968972329716824,True,False,True,False
bimodal,18,4.994801899866775,0.4994801899866775,-1.0,0.7628641727996859,-1.4032670234692228,True,False,True,False
bimodal,19,4.995924172365091,0.49959241723650905,-1.0,0.7624974488892937,-1.4001927643784275,True,False,True,False
saturated,0,2.993865208867126,0.2993865208867126,-1.0,0.641741234488224,-1.9851565259500992,True,False,True,False
saturated,1,2.997975863850464,0.2997975863850464,-1.0,0.6413057468443035,-1.9811435059965397,True,False,True,False
saturated,2,2.9993387659207102,0.29993387659207105,-1.0,0.6413165057395265,-1.9820390352436064,True,False,True,False
saturated,3,2.997871928154986,0.2997871928154986,-1.0,0.6417062551347125,-1.980673879337889,True,False,True,False
saturated,4,2.998842225106791,0.29988422251067914,-1.0,0.641474165245311,-1.9856483762098767,True,False,True,False
saturated,5,2.9962338222638887,0.29962338222638885,-1.0,0.6421304084644046,-1.983056812856937,True,False,True,False
saturated,6,2.998907053752073,0.2998907053752073,-1.0,0.6414918166398839,-1.984233119947771,True,False,True,False
saturated,7,2.9976308346416585,0.29976308346416586,-1.0,0.6404586479387582,-1.9831215309660648,True,False,True,False
saturated,8,2.9977102873651367,0.2997710287365137,-1.0,0.6407676645324774,-1.9805552722420374,True,False,True,False
saturated,9,2.997953396757958,0.2997953396757958,-1.0,0.6404586717898051,-1.9786767645143823,True,False,True,False
saturated,10,2.995918726898427,0.29959187268984266,-1.0,0.6410798731507383,-1.9848914113301308,True,False,True,False
saturated,11,2.9993874238718057,0.29993874238718055,-1.0,0.6416254956796612,-1.9828412267744178,True,False,True,False
saturated,12,2.9976799832448884,0.29976799832448886,-1.0,0.6402064580210775,-1.9805259199624794,True,False,True,False
saturated,13,2.9987612717845793,0.2998761271784579,-1.0,0.6407279113886664,-1.9806518227802814,True,False,True,False
saturated,14,2.9961957405304913,0.2996195740530491,-1.0,0.640457653203534,-1.9792637564200872,True,False,True,False
saturated,15,2.997888342718605,0.29978883427186054,-1.0,0.6417868611537039,-1.9832656561076503,True,False,True,False
saturated,16,2.997896797274164,0.2997896797274164,-1.0,0.6423520435845775,-1.9845422650809137,True,False,True,False
saturated,17,2.9996563804974254,0.2999656380497425,-1.0,0.6396886366001031,-1.9791030231028335,True,False,True,False
saturated,18,2.9983922627057313,0.29983922627057313,-1.0,0.6414056363319681,-1.9815123003804123,True,False,True,False
saturated,19,2.998043760885931,0.2998043760885931,-1.0,0.640433376307369,-1.9816405803598458,True,False,True,False
equal_variance,0,9.981647085033032,0.9981647085033032,-1.0,0.9750192295255458,-0.01467363947624581,True,True,False,False
equal_variance,1,9.979504758948565,0.9979504758948565,-1.0,0.9804323352770785,-0.015583403013700533,True,True,False,False
equal_variance,2,9.982572948444535,0.9982572948444535,-1.0,0.9466448510695412,-0.014225398305839354,True,True,False,False
